text,label,label_name
Prenatal vitamins support healthy fetal development,1,Credible
Smoking causes lung cancer and cardiovascular disease,1,Credible
Early HIV treatment prevents AIDS development,1,Credible
Eating raw liver cures anemia in one day,0,Misinformation
Electromagnetic bracelets improve blood circulation miraculously,0,Misinformation
Oregano oil cures antibiotic resistant infections,0,Misinformation
Blood type O people cannot get COVID,0,Misinformation
Chemotherapy targets and kills cancer cells effectively,1,Credible
Drinking urine cures kidney disease naturally,0,Misinformation
Drinking bleach cures COVID-19 instantly,0,Misinformation
Alkaline water makes cancer impossible to grow,0,Misinformation
Mercury in vaccines causes permanent brain damage,0,Misinformation
Stress management reduces risk of heart attack,1,Credible
Salt water gargling kills COVID virus permanently,0,Misinformation
Regular blood pressure monitoring helps prevent stroke,1,Credible
Eating raw onions prevents all viruses,0,Misinformation
Depression is a medical condition treatable with therapy,1,Credible
Handwashing with soap kills most harmful bacteria,1,Credible
Magnets attached to skin cure arthritis,0,Misinformation
Holding breath for 10 seconds proves no COVID,0,Misinformation
Sleep deprivation weakens the human immune system,1,Credible
Organ transplants save lives of patients in organ failure,1,Credible
Vitamin C megadose cures all types of cancer,0,Misinformation
Crystals placed on body heal cancer tumors,0,Misinformation
Processed foods high in sodium raise blood pressure,1,Credible
Baking soda kills all cancer cells,0,Misinformation
Bleach baths cure eczema and skin infections,0,Misinformation
Wearing masks reduces respiratory virus transmission,1,Credible
Sugar causes cancer and doctors hide this truth,0,Misinformation
Alcohol consumption damages liver cells over time,1,Credible
Moon water heals all mental illness,0,Misinformation
Fasting for 7 days reverses heart disease completely,0,Misinformation
Blood thinners prevent dangerous clot formation,1,Credible
Children born to vaccinated parents have lower IQ,0,Misinformation
Physical therapy helps recover from knee surgery,1,Credible
Homeopathic water cures diabetes permanently,0,Misinformation
Insulin injections help manage type 1 diabetes,1,Credible
High cholesterol is a risk factor for heart disease,1,Credible
Raw egg whites heal second degree burns,0,Misinformation
Colloidal silver cures every infection known,0,Misinformation
Rubbing garlic on feet cures flu overnight,0,Misinformation
Hydrogen peroxide in ears cures common cold,0,Misinformation
Microchips are hidden in COVID vaccines,0,Misinformation
Childhood vaccines prevent measles mumps and rubella,1,Credible
WiFi signals cause cancer and infertility,0,Misinformation
Turmeric alone cures Alzheimer disease completely,0,Misinformation
HPV vaccine prevents cervical cancer development,1,Credible
Drinking hot water kills coronavirus inside throat,0,Misinformation
Breastfeeding provides important nutrients and antibodies,1,Credible
Lemon juice injected in veins cures HIV,0,Misinformation
Meditation alone cures severe depression permanently,0,Misinformation
Garlic injections cure cancer completely,0,Misinformation
Earthing barefoot cures diabetes in weeks,0,Misinformation
Coffee enemas cure pancreatic cancer,0,Misinformation
Essential oils cure heart disease better than medicine,0,Misinformation
Diabetes medication helps control blood glucose levels,1,Credible
Sunlight exposure kills all germs inside body,0,Misinformation
Sunscreen prevents skin cancer and UV damage,1,Credible
Petroleum jelly inside nose blocks all viruses,0,Misinformation
COVID vaccines reduce severe illness and hospitalization,1,Credible
High blood pressure increases risk of stroke significantly,1,Credible
Aspirin reduces risk of second heart attack,1,Credible
A balanced diet helps maintain healthy blood sugar levels,1,Credible
Apple cider vinegar cures type 2 diabetes permanently,0,Misinformation
Regular hand washing reduces infection spread significantly,1,Credible
Regular dental checkups prevent serious oral health problems,1,Credible
Black seed oil cures every disease known to man,0,Misinformation
Physical activity improves mental health outcomes,1,Credible
Mental health therapy helps treat depression effectively,1,Credible
Sodium restriction helps manage high blood pressure,1,Credible
Regular eye exams detect glaucoma in early stages,1,Credible
Drinking cow urine cures all chronic diseases,0,Misinformation
Diabetes type 2 can be managed with diet and exercise,1,Credible
Boiling pine needles cures respiratory infections,0,Misinformation
Regular mammograms detect breast cancer early,1,Credible
Antibiotics treat bacterial infections but not viral ones,1,Credible
Colorectal cancer screening detects tumors early,1,Credible
Banana peels cure psoriasis completely,0,Misinformation
Metformin is first line treatment for type 2 diabetes,1,Credible
Regular cancer screening improves survival rates,1,Credible
Air pollution causes respiratory diseases and lung damage,1,Credible
Physical rehabilitation helps stroke recovery outcomes,1,Credible
Eating ice cures iron deficiency immediately,0,Misinformation
Eating clay detoxifies the entire human body,0,Misinformation
Vaccines cause autism in children,0,Misinformation
Exercise reduces risk of heart disease and diabetes,1,Credible
Chemotherapy is poison doctors use to make money,0,Misinformation
5G towers spread coronavirus disease,0,Misinformation
Copper bracelets cure rheumatoid arthritis,0,Misinformation
Antidepressants restore chemical balance in the brain,1,Credible
Iron supplements treat iron deficiency anemia effectively,1,Credible
Calcium and vitamin D strengthen bone density,1,Credible
Insulin resistance leads to type 2 diabetes progression,1,Credible
Hypertension medication reduces stroke risk significantly,1,Credible
Cell phones cause brain tumors in all users,0,Misinformation
Obesity increases risk of multiple chronic diseases,1,Credible
Flu vaccine reduces hospitalization risk in elderly,1,Credible
Raw potato juice reverses blindness,0,Misinformation
Fiber rich diet reduces colorectal cancer risk,1,Credible
Vaccines are safe and effective according to clinical trials,1,Credible
